Action Sentence                                                                           ,Formatted Output
"បកក្រោយ 1.68 ម៉ែត្រ នៅល្បឿន 9.53 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ស្ដាំ 105 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 9.53, 'distance': 1.68, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 105, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 10.11 ម៉ែត្រ នៅល្បឿន 5.38 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 148 ដឺក្រេ។"                        ,"{'action': 'move', 'params': {'linear_speed': 5.38, 'distance': 10.11, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 148, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 12.21 ម៉ែត្រ នៅល្បឿន 4.5 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែឆ្វេង 227 ដឺក្រេ។"                        ,"{'action': 'move', 'params': {'linear_speed': 4.5, 'distance': 12.21, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 227, 'is_clockwise': False, 'unit': 'degree'}}"
"បកក្រោយ 14.3 ម៉ែត្រ នៅល្បឿន 9.65 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 276 ដឺក្រេ។"                        ,"{'action': 'move', 'params': {'linear_speed': 9.65, 'distance': 14.3, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 276, 'is_clockwise': False, 'unit': 'degree'}}"
"ទៅមុខ 8.43 ម៉ែត្រ នៅល្បឿន 5.8 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 78 ដឺក្រេ។"                           ,"{'action': 'move', 'params': {'linear_speed': 5.8, 'distance': 8.43, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 78, 'is_clockwise': True, 'unit': 'degree'}}"
"ត្រឡប់ទៅក្រោយ 9.95 ម៉ែត្រ នៅល្បឿន 6.3 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 86 ដឺក្រេ។"                     ,"{'action': 'move', 'params': {'linear_speed': 6.3, 'distance': 9.95, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 86, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 7.68 ម៉ែត្រ នៅល្បឿន 1.75 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 74 ដឺក្រេ។"                          ,"{'action': 'move', 'params': {'linear_speed': 1.75, 'distance': 7.68, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 74, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 16.14 ម៉ែត្រ នៅល្បឿន 2.09 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 290 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 2.09, 'distance': 16.14, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 290, 'is_clockwise': False, 'unit': 'degree'}}"
"បកក្រោយ 17.66 ម៉ែត្រ នៅល្បឿន 9.48 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 203 ដឺក្រេ។"                       ,"{'action': 'move', 'params': {'linear_speed': 9.48, 'distance': 17.66, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 203, 'is_clockwise': False, 'unit': 'degree'}}"
"ត្រឡប់ទៅក្រោយ 11.96 ម៉ែត្រ នៅល្បឿន 5.4 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 116 ដឺក្រេ។"                    ,"{'action': 'move', 'params': {'linear_speed': 5.4, 'distance': 11.96, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 116, 'is_clockwise': False, 'unit': 'degree'}}"
"បកក្រោយ 18.74 ម៉ែត្រ នៅល្បឿន 4.55 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 164 ដឺក្រេ។"                       ,"{'action': 'move', 'params': {'linear_speed': 4.55, 'distance': 18.74, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 164, 'is_clockwise': False, 'unit': 'degree'}}"
"ត្រឡប់ទៅក្រោយ 5.72 ម៉ែត្រ នៅល្បឿន 1.32 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 217 ដឺក្រេ។"                    ,"{'action': 'move', 'params': {'linear_speed': 1.32, 'distance': 5.72, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 217, 'is_clockwise': False, 'unit': 'degree'}}"
