input                                                                                                                 ,output
"['តោះរ៉ូបូតទៅមុខសែសិបប្រាំពីរក្បៀសហុកសិបប្រាំបីម៉ែត្រ', 'រ៉ូបូតបន្តបើកទៅទៀត', 'មកវិញ']"                                                   ,"[{'action': 'move', 'params': {'distance':  47.68, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  47.68, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  95.36, 'is_forward':  false, 'unit': 'meter'}}]"
"['កូនរ៉ូបូតទៅមុខចំងាយម្ភៃពីរក្បៀសសែសិបមួយម៉ែត្រ', 'តោះទៅបន្ថែមទៀត', 'ទៅវិញ']"                                                       ,"[{'action': 'move', 'params': {'distance':  22.41, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  22.41, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  44.82, 'is_forward':  false, 'unit': 'meter'}}]"
"['កូនរ៉ូបូតទៅមុខសាមសិបពីរក្បៀសម្ភៃម៉ែត្រ', 'បន្តទៅមុខទៀត', 'រ៉ូបូតថយក្រោយវិញ']"                                                        ,"[{'action': 'move', 'params': {'distance':  32.2, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  32.2, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  64.4, 'is_forward':  false, 'unit': 'meter'}}]"
"['រ៉ូបូតទៅមុខសែសិបប្រាំក្បៀសម្ភៃប្រាំពីរម៉ែត្រ', 'ទៅមុខថែមទៀតទៅ', 'រួចហើយថយមកវិញ']"                                                   ,"[{'action': 'move', 'params': {'distance':  45.27, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  45.27, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  90.54, 'is_forward':  false, 'unit': 'meter'}}]"
"['ចូលរ៉ូបូតទៅមុខម្ភៃបីក្បៀសកៅសិបប្រាំម៉ែត្រ', 'ទៅមុខបន្ថែមទៀត', 'ថយមកវិញមក']"                                                        ,"[{'action': 'move', 'params': {'distance':  23.95, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  23.95, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  47.9, 'is_forward':  false, 'unit': 'meter'}}]"
"['ចូលទៅមុខដប់បីក្បៀសកៅសិបប្រាំមួយម៉ែត្រ', 'ទៅមុខបន្តទៀត', 'ថយមកវិញ']"                                                              ,"[{'action': 'move', 'params': {'distance':  13.96, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  13.96, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  27.92, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតធ្វើដំណើរទៅមុខប្រាំបីក្បៀសហុកសិបមួយម៉ែត្រ', 'រ៉ូបូតបន្តទៅមុខទៀត', 'រ៉ូបូតមកថយទៅវិញ']"                                             ,"[{'action': 'move', 'params': {'distance':  8.61, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  8.61, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  17.22, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះជិះទៅមុខសែសិបប្រាំបីក្បៀសចិតសិបប្រាំពីរម៉ែត្រ', 'បើកទៅមុខទៀត', 'ថយទៅវិញ']"                                                      ,"[{'action': 'move', 'params': {'distance':  48.77, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  48.77, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  97.54, 'is_forward':  false, 'unit': 'meter'}}]"
"['មករ៉ូបូតផ្លាស់ទីទៅមុខបីក្បៀសដប់ប្រាំបីម៉ែត្រ', 'រ៉ូបូតយើងបន្តទៅមុខទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                         ,"[{'action': 'move', 'params': {'distance':  3.18, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  3.18, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  6.36, 'is_forward':  false, 'unit': 'meter'}}]"
"['កូនរ៉ូបូតទៅមុខសាមសិបបួនក្បៀសសែសិបពីរម៉ែត្រ', 'បន្តទៅមុខទៀត', 'រ៉ូបូតថយក្រោយវិញ']"                                                     ,"[{'action': 'move', 'params': {'distance':  34.42, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  34.42, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  68.84, 'is_forward':  false, 'unit': 'meter'}}]"
